SaleID,Date,ProductID,Quantity,SalesPrice
1001,2025-01-05,14,12,65
1002,2025-01-05,19,8,75
1003,2025-01-06,2,3,120
1004,2025-01-08,1,1,2200
1005,2025-01-10,14,15,65
1006,2025-01-12,4,6,140
1007,2025-01-15,19,10,75
1008,2025-01-18,11,4,280
1009,2025-01-20,13,5,95
1010,2025-01-22,14,10,65
1011,2025-01-25,5,2,110
1012,2025-02-01,19,12,75
1013,2025-02-03,6,1,1900
1014,2025-02-05,2,5,120
1015,2025-02-10,14,20,60
1016,2025-02-12,8,4,130
1017,2025-02-15,19,7,75
1018,2025-02-18,17,1,1300
1019,2025-02-22,11,3,280
1020,2025-02-25,14,18,60
1021,2025-03-02,4,8,140
1022,2025-03-05,19,15,75
1023,2025-03-10,2,4,120
1024,2025-03-15,14,14,60
1025,2025-03-20,3,2,750
1026,2025-04-05,14,25,55
1027,2025-04-08,19,20,70
1028,2025-04-12,12,1,1800
1029,2025-04-15,11,6,280
1030,2025-04-18,2,6,120
1031,2025-04-22,13,7,95
1032,2025-04-25,14,30,55
1033,2025-05-01,19,18,70
1034,2025-05-05,5,4,110
1035,2025-05-10,14,22,55
1036,2025-05-15,4,10,135
1037,2025-05-20,19,15,70
1038,2025-05-25,1,1,2200
1039,2025-06-02,11,5,280
1040,2025-06-05,14,28,55
1041,2025-06-10,2,7,120
1042,2025-06-15,19,22,70
1043,2025-06-20,18,2,800
1044,2025-06-25,14,15,55
1045,2025-06-28,8,5,130
1046,2025-07-05,14,20,55
1047,2025-07-08,19,25,70
1048,2025-07-12,6,1,1900
1049,2025-07-15,11,8,270
1050,2025-07-20,13,10,90
1051,2025-07-25,14,35,55
1052,2025-08-01,15,4,190
1053,2025-08-05,19,30,70
1054,2025-08-10,5,6,110
1055,2025-08-15,2,10,120
1056,2025-08-20,14,40,50
1057,2025-08-25,12,1,1800
1058,2025-09-02,9,3,550
1059,2025-09-05,4,12,130
1060,2025-09-10,19,25,70
1061,2025-09-15,11,10,270
1062,2025-09-20,14,25,50
1063,2025-09-25,20,5,110
1064,2025-09-28,1,1,2200
1065,2025-09-30,13,8,90
1066,2025-10-05,14,50,45
1067,2025-10-10,19,40,65
1068,2025-10-15,2,15,110
1069,2025-10-20,7,3,350
1070,2025-10-25,11,12,260
1071,2025-11-05,14,60,45
1072,2025-11-10,19,55,60
1073,2025-11-15,4,20,120
1074,2025-11-20,13,15,85
1075,2025-11-25,10,2,250
1076,2025-11-28,14,70,45
1077,2025-12-05,19,45,60
1078,2025-12-10,2,12,110
1079,2025-12-15,11,15,260
1080,2025-12-18,6,1,1900
1081,2025-12-20,14,30,45
1082,2025-12-22,19,20,60
1083,2025-12-24,3,3,750
1084,2025-12-27,15,5,180
1085,2025-12-30,17,1,1300
