ProductID,Date,MovementQty,Type
1,2025-01-01,5,Opening
2,2025-01-01,20,Opening
3,2025-01-01,5,Opening
4,2025-01-01,30,Opening
5,2025-01-01,15,Opening
6,2025-01-01,3,Opening
7,2025-01-01,10,Opening
8,2025-01-01,25,Opening
9,2025-01-01,8,Opening
10,2025-01-01,5,Opening
11,2025-01-01,40,Opening
12,2025-01-01,4,Opening
13,2025-01-01,50,Opening
14,2025-01-01,100,Opening
15,2025-01-01,15,Opening
16,2025-01-01,6,Opening
17,2025-01-01,2,Opening
18,2025-01-01,10,Opening
19,2025-01-01,80,Opening
20,2025-01-01,20,Opening
