PurchaseID,ProductID,SupplierID,OrderDate,ArrivalDate,QtyOrdered,QtyReceived,PurchaseCost
P2001,1,S01,2024-12-15,2025-01-02,10,10,1800
P2002,14,S02,2025-01-01,2025-01-05,100,100,40
P2003,19,S05,2025-01-01,2025-01-05,80,80,45
P2004,2,S02,2025-01-10,2025-01-15,30,30,80
P2005,11,S05,2025-01-15,2025-01-20,40,40,190
P2006,4,S03,2025-01-20,2025-01-23,50,45,90
P2007,14,S02,2025-03-01,2025-03-06,150,150,40
P2008,19,S05,2025-03-01,2025-03-05,120,120,45
P2009,17,S04,2025-02-01,2025-02-18,5,5,900
P2010,13,S03,2025-03-10,2025-03-13,60,60,55
P2011,14,S02,2025-06-01,2025-06-05,200,200,38
P2012,19,S05,2025-06-01,2025-06-04,150,150,42
P2013,6,S01,2025-06-15,2025-07-02,8,8,1500
P2014,3,S04,2025-07-01,2025-07-15,10,10,550
P2015,11,S05,2025-08-01,2025-08-05,60,60,185
P2016,14,S02,2025-09-01,2025-09-06,250,250,38
P2017,19,S05,2025-09-01,2025-09-04,200,200,42
P2018,4,S03,2025-10-01,2025-10-04,100,100,85
P2019,14,S02,2025-11-01,2025-11-10,300,280,35
P2020,19,S05,2025-11-01,2025-11-05,250,250,40
